iter	Passed	Remaining
0	4	4328
1	8	4176
2	13	4322
3	17	4257
4	20	4074
5	23	3954
6	27	3870
7	31	3906
8	34	3828
9	38	3789
10	41	3747
11	45	3735
12	49	3744
13	52	3714
14	55	3666
15	59	3688
16	63	3674
17	66	3639
18	69	3602
19	72	3574
20	76	3565
21	80	3561
22	83	3541
23	86	3533
24	89	3509
25	93	3520
26	97	3499
27	100	3492
28	103	3482
29	107	3475
30	111	3482
31	114	3472
32	118	3458
33	121	3439
34	124	3424
35	128	3448
36	132	3450
37	136	3455
38	140	3458
39	145	3484
40	149	3490
41	153	3496
42	157	3507
43	161	3519
44	165	3515
45	169	3509
46	173	3516
47	177	3523
48	181	3531
49	185	3524
50	189	3532
51	193	3529
52	197	3531
53	201	3526
54	205	3535
55	209	3533
56	213	3533
57	217	3530
58	221	3537
59	225	3534
60	229	3533
61	233	3536
62	239	3556
63	243	3565
64	247	3567
65	252	3567
66	257	3587
67	261	3582
68	265	3577
69	268	3564
70	272	3570
71	276	3568
72	280	3560
73	284	3559
74	288	3563
75	292	3560
76	296	3560
77	302	3569
78	306	3575
79	311	3580
80	315	3583
81	321	3594
82	325	3593
83	330	3598
84	333	3591
85	337	3591
86	343	3600
87	349	3622
88	354	3632
89	360	3645
90	365	3651
91	370	3652
92	374	3648
93	378	3646
94	383	3650
95	387	3644
96	390	3634
97	393	3625
98	398	3627
99	402	3623
100	406	3618
101	410	3614
102	415	3617
103	419	3613
104	423	3609
105	427	3603
106	431	3604
107	435	3599
108	439	3593
109	443	3588
110	448	3590
111	452	3584
112	455	3578
113	459	3572
114	464	3573
115	468	3573
116	472	3569
117	475	3551
118	480	3556
119	485	3559
120	489	3552
121	493	3551
122	497	3548
123	501	3542
124	505	3537
125	509	3536
126	514	3535
127	518	3531
128	522	3525
129	526	3524
130	530	3521
131	534	3516
132	538	3510
133	544	3517
134	548	3513
135	552	3507
136	555	3500
137	560	3500
138	564	3495
139	568	3492
140	572	3488
141	577	3486
142	581	3482
143	584	3475
144	589	3475
145	593	3471
146	597	3468
147	601	3463
148	606	3461
149	609	3455
150	613	3451
151	617	3444
152	621	3438
153	625	3435
154	629	3433
155	633	3426
156	637	3422
157	641	3420
158	645	3415
159	649	3410
160	653	3407
161	658	3404
162	661	3398
163	666	3395
164	670	3392
165	674	3390
