iter	RMSE
0	1667.858841
1	1621.953899
2	1578.809955
3	1536.998662
4	1498.804151
5	1463.948525
6	1430.784572
7	1400.365366
8	1373.576723
9	1348.407405
10	1325.660518
11	1304.908373
12	1285.88326
13	1267.47307
14	1250.517654
15	1236.432433
16	1222.333882
17	1210.28734
18	1199.03225
19	1189.211078
20	1180.126548
21	1171.162178
22	1163.622819
23	1155.901304
24	1149.113023
25	1142.948278
26	1137.99863
27	1133.219528
28	1128.388866
29	1124.270098
30	1120.329911
31	1116.819016
32	1114.029725
33	1111.2434
34	1109.004138
35	1106.828501
36	1104.816541
37	1102.816535
38	1100.779994
39	1098.978956
40	1097.33759
41	1095.442949
42	1094.062955
43	1092.792679
44	1091.460353
45	1090.402809
46	1089.386796
47	1088.381503
48	1087.403396
49	1086.493932
50	1085.532288
51	1084.602852
52	1083.627142
53	1082.972603
54	1082.344813
55	1081.325128
56	1080.704
57	1080.345157
58	1079.684258
59	1078.757098
60	1078.221782
61	1077.712282
62	1077.174389
63	1076.851953
64	1076.073628
65	1075.580316
66	1075.139539
67	1074.576844
68	1073.98356
69	1073.821605
70	1072.975043
71	1072.493559
72	1072.092575
73	1071.599976
74	1071.146259
75	1070.90513
76	1070.348433
77	1069.894442
78	1069.587953
79	1069.331277
80	1069.090033
81	1068.464199
82	1067.930498
83	1067.41859
84	1067.254275
85	1066.628612
86	1066.107192
87	1065.587228
88	1065.239402
89	1064.757166
90	1064.365683
91	1064.02202
92	1063.668723
93	1063.288987
94	1062.761577
95	1062.278387
96	1061.574379
97	1060.611451
98	1060.228102
99	1059.442329
100	1058.999709
101	1058.751989
102	1058.290208
103	1057.656331
104	1057.424049
105	1056.975765
106	1056.468583
107	1055.877269
108	1055.435447
109	1054.991451
110	1054.485546
111	1054.39978
112	1054.025772
113	1053.69211
114	1053.31739
115	1053.067622
116	1052.338913
117	1052.298929
118	1051.836872
119	1051.469229
120	1050.961937
121	1050.587273
122	1050.239258
123	1049.719108
124	1049.29799
125	1048.978772
126	1048.591978
127	1048.373323
128	1048.26426
129	1047.923411
130	1047.58788
131	1047.197072
132	1046.906329
133	1046.742507
134	1046.296322
135	1046.074352
136	1045.462738
137	1045.226604
138	1044.591013
139	1044.400321
140	1043.565878
141	1042.966238
142	1042.775533
143	1042.446392
144	1042.007127
145	1041.73908
146	1040.978357
147	1040.616952
148	1040.337519
149	1039.906501
150	1039.535254
151	1039.25009
152	1038.905514
153	1038.551547
154	1038.200217
155	1037.659263
156	1037.368779
157	1036.881871
158	1036.194902
159	1035.869407
160	1035.627718
161	1035.288115
162	1034.818971
163	1034.197539
164	1033.974244
165	1033.453292
166	1032.828819
167	1032.364668
168	1031.894361
169	1031.651365
170	1031.4644
171	1030.85431
172	1030.497765
173	1029.857855
174	1029.580103
175	1029.027175
176	1028.511787
177	1028.25009
178	1027.996738
