iter	Passed	Remaining
0	39	39432
1	45	22734
2	49	16599
3	57	14386
4	64	12777
5	69	11590
6	75	10672
7	78	9744
8	81	8955
9	83	8307
10	86	7797
11	89	7361
12	92	6998
13	94	6674
14	97	6392
15	99	6145
16	102	5929
17	105	5739
18	107	5566
19	110	5397
20	112	5243
21	114	5098
22	116	4966
23	118	4834
24	121	4721
25	123	4621
26	125	4514
27	127	4411
28	129	4320
29	131	4236
30	132	4154
31	134	4075
32	136	4004
33	138	3937
34	140	3886
35	143	3831
36	145	3774
37	146	3718
38	148	3663
39	150	3609
40	152	3559
41	154	3518
42	156	3477
43	158	3438
44	160	3399
45	162	3362
46	163	3324
47	165	3288
48	167	3259
49	169	3225
50	171	3193
51	173	3161
52	175	3128
53	176	3099
54	179	3083
55	181	3055
56	183	3029
57	185	3006
58	187	2983
59	188	2959
60	190	2935
61	192	2910
62	194	2887
63	195	2865
64	197	2844
65	199	2827
66	201	2812
67	203	2792
68	205	2775
69	207	2750
70	208	2733
71	210	2715
72	212	2701
73	214	2686
74	216	2672
75	218	2657
76	220	2643
77	222	2628
78	224	2615
79	226	2601
80	228	2586
81	229	2573
82	231	2560
83	233	2547
84	234	2528
85	236	2515
86	238	2504
87	240	2492
88	242	2481
89	245	2478
90	247	2468
91	249	2460
92	251	2455
93	253	2446
94	255	2434
95	257	2423
96	259	2413
97	261	2402
98	263	2393
99	265	2387
100	267	2377
101	269	2368
102	270	2358
103	272	2348
104	274	2341
105	277	2338
106	279	2329
107	281	2321
108	283	2313
109	285	2306
110	287	2299
111	289	2291
112	291	2284
113	292	2276
114	294	2269
115	297	2265
116	299	2257
117	300	2243
118	302	2236
119	304	2229
120	306	2224
121	308	2217
122	310	2211
123	312	2205
124	314	2199
125	316	2193
126	318	2186
127	320	2180
128	321	2174
129	323	2167
130	325	2161
131	327	2154
132	329	2150
133	331	2144
134	334	2140
135	335	2134
136	337	2128
137	339	2122
138	341	2117
139	344	2113
140	346	2111
141	348	2107
142	350	2102
143	352	2096
144	354	2092
145	356	2087
146	358	2083
147	361	2079
148	363	2074
149	365	2069
150	367	2064
151	369	2059
152	371	2054
153	373	2049
154	374	2044
155	377	2040
156	379	2037
157	381	2033
158	383	2029
159	385	2025
160	387	2020
161	389	2015
162	391	2012
163	394	2008
164	395	2003
165	397	1998
166	399	1993
167	401	1988
168	403	1984
169	405	1979
170	407	1975
171	410	1975
172	412	1971
173	414	1967
174	416	1962
175	418	1958
176	420	1954
177	422	1949
178	424	1945
179	426	1942
180	428	1937
181	430	1934
182	432	1929
183	434	1924
184	435	1920
185	437	1916
186	440	1914
187	442	1911
188	444	1908
189	447	1905
190	449	1902
191	451	1901
192	454	1898
193	456	1897
194	459	1895
195	461	1893
196	464	1892
197	466	1890
198	468	1886
199	470	1882
200	472	1880
201	475	1876
202	476	1872
203	478	1867
204	480	1863
205	482	1860
206	484	1856
207	486	1853
208	489	1851
209	492	1851
210	494	1847
211	496	1844
212	498	1840
213	500	1836
214	502	1833
215	504	1830
216	506	1828
217	508	1824
218	510	1822
219	513	1820
220	516	1819
221	518	1817
222	521	1815
223	523	1812
224	525	1808
225	527	1805
226	529	1802
227	531	1798
228	533	1796
229	535	1793
230	538	1794
231	540	1789
232	542	1785
233	544	1782
234	546	1778
235	548	1774
236	549	1770
237	551	1767
238	553	1763
239	556	1761
240	558	1757
241	559	1753
242	561	1750
243	563	1746
244	565	1742
245	567	1739
246	569	1736
247	571	1732
248	573	1728
249	575	1725
250	577	1722
251	579	1718
252	580	1715
253	582	1711
254	585	1710
255	587	1707
256	589	1704
257	591	1701
258	593	1698
259	595	1695
260	597	1691
261	599	1688
262	601	1685
263	603	1681
264	605	1678
265	607	1675
266	608	1671
267	610	1668
268	612	1665
269	615	1664
270	617	1661
271	619	1658
272	621	1655
273	623	1651
274	625	1648
275	627	1645
276	629	1642
277	631	1639
278	633	1636
279	635	1633
280	636	1629
281	638	1626
282	640	1623
283	642	1620
284	644	1617
285	646	1614
286	648	1612
287	651	1609
288	652	1606
289	654	1603
290	656	1599
291	658	1596
292	660	1593
293	662	1591
294	665	1589
295	666	1586
296	668	1583
297	670	1579
298	672	1576
299	674	1572
300	676	1569
301	678	1568
302	680	1565
303	682	1561
304	684	1558
305	685	1555
306	687	1552
307	689	1549
308	691	1546
309	693	1543
310	695	1541
311	697	1538
312	700	1536
313	702	1533
314	703	1530
315	705	1527
316	707	1524
317	709	1521
318	711	1519
319	713	1516
320	715	1513
321	717	1510
322	719	1507
323	721	1505
324	723	1502
325	725	1500
326	727	1497
327	729	1494
328	731	1491
329	733	1488
330	734	1485
331	736	1482
332	738	1479
333	740	1476
334	742	1474
335	745	1472
336	747	1470
337	749	1467
338	750	1464
